0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0.0,53.57,49.95,37.06,40.7,41.69,38.69,20.51,18.68,54.87,48.87,23.66,50.18,2.65,47.83,25.74,33.44,17.53,9.68,32.23,76.29,11.22,21.53,20.43,49.97,91.53,23.93,17.35,33.09,53.06,59.18,20.54,67.97,26.47,29.77,54.47,26.54,31.49,33.55,29.36,35.29,36.58,54.52,38.68,82.36,67.0,33.23,45.39,12.97,66.93,41.32,43.36,4.54,12.91,21.68,48.07,37.79,48.63,30.07,29.78,15.86,13.29,69.62,22.52,60.83,77.87,72.12,57.57,49.95,49.48,144.76,65.54,76.74,92.17,20.74,44.7,21.95,63.67,30.27,8.35,64.79,11.67,23.97,31.98,22.34,17.2,39.03,48.83,9.4,11.37,71.04,18.56,29.18,81.6,26.11,26.41,36.2,36.22,16.91,11.26,81.21
53.57,0.0,77.31,12.79,62.73,74.07,29.08,40.52,63.66,31.56,115.38,26.89,3.7,43.16,46.41,35.51,19.83,61.72,50.86,74.39,117.47,34.48,59.94,91.43,109.84,100.78,55.77,70.79,76.31,13.86,104.66,44.88,106.18,57.55,27.74,107.82,56.16,72.67,109.74,65.54,93.8,21.54,43.15,94.64,29.83,90.6,84.8,57.71,62.0,40.57,97.89,11.96,46.09,46.33,67.36,35.94,67.17,43.26,92.64,34.35,30.43,30.13,45.73,82.83,56.19,89.62,84.72,126.56,111.65,41.02,95.84,129.85,74.3,28.63,63.41,27.34,35.35,10.76,61.63,45.82,17.58,57.53,26.84,19.85,48.38,86.05,24.6,65.42,61.72,51.3,39.96,46.49,52.85,35.03,44.0,84.22,17.39,63.31,34.05,67.59,38.65
49.95,96.64,0.0,73.43,24.04,110.55,96.53,74.85,47.38,97.49,46.01,57.3,83.27,41.85,34.08,96.01,73.61,37.87,40.93,54.02,115.8,48.96,53.15,43.13,26.37,93.87,68.99,39.12,75.06,89.77,6.47,86.73,29.45,43.69,57.46,33.08,29.94,57.54,52.32,61.23,65.58,67.2,140.43,64.85,85.63,109.53,33.05,104.52,65.07,93.86,32.77,91.49,49.48,46.36,79.12,42.09,25.9,74.1,44.97,82.08,62.39,45.34,130.89,43.61,102.96,45.44,98.35,20.04,64.95,119.21,166.34,47.7,12.24,92.01,55.37,104.55,69.41,87.16,22.71,53.25,100.62,47.15,54.95,56.6,34.52,44.85,82.02,79.84,54.96,43.96,85.02,56.25,77.15,106.26,36.29,74.14,55.13,21.02,81.8,52.06,120.95
30.89,15.35,79.55,0.0,49.55,63.62,7.29,27.45,44.12,20.88,68.05,17.14,9.22,49.03,46.9,19.11,5.26,64.62,24.7,68.0,138.92,37.8,56.75,61.5,99.46,115.41,36.39,44.2,55.32,25.53,79.58,26.23,89.11,62.64,9.41,75.01,72.58,80.4,83.34,54.61,59.85,6.51,43.51,73.58,30.12,101.97,67.29,67.38,53.82,34.93,68.43,24.71,28.42,27.97,53.01,54.06,42.89,36.41,91.08,16.67,15.55,30.26,46.53,53.02,29.28,122.52,86.62,104.68,95.21,34.0,81.15,121.57,92.77,31.69,35.82,13.24,14.23,30.61,66.65,54.75,24.66,43.8,9.23,7.11,41.9,71.79,15.54,63.26,43.48,34.56,31.69,40.86,48.11,41.09,32.41,63.26,8.33,72.19,32.54,39.59,47.63
50.88,41.82,24.04,61.94,0.0,102.91,69.22,53.91,49.25,93.23,59.73,42.03,42.09,42.32,8.11,48.29,45.22,29.66,34.43,50.1,112.6,28.93,72.3,49.3,40.02,105.2,58.3,47.5,88.83,46.94,38.2,45.44,48.86,44.81,50.98,77.36,36.05,55.47,47.41,56.5,94.58,56.26,76.6,59.58,64.11,80.02,41.69,76.89,53.58,91.09,49.46,48.71,31.86,23.67,66.02,23.99,5.1,33.76,63.36,68.25,47.7,40.76,109.24,57.56,69.05,69.15,118.95,57.11,74.95,62.38,137.42,94.57,33.17,105.32,60.52,66.75,49.61,51.65,28.08,31.16,71.78,50.88,43.62,44.68,27.7,49.24,55.91,96.8,53.37,35.55,87.29,58.94,87.12,102.53,17.97,86.88,52.34,20.96,63.46,45.04,95.63
41.69,74.07,110.55,48.94,82.33,0.0,64.11,34.51,42.16,63.76,70.3,42.46,87.14,43.68,96.97,34.62,69.15,44.58,60.75,61.08,89.52,60.2,31.32,48.28,94.11,72.21,21.06,41.84,13.83,103.9,114.8,27.98,98.87,61.64,65.63,95.89,49.05,45.01,50.55,16.3,10.08,53.8,46.07,38.0,75.53,56.32,59.21,6.88,29.18,74.89,50.9,101.08,36.76,54.04,31.97,105.19,99.32,79.56,58.55,41.58,42.1,39.58,43.4,44.57,53.59,89.44,33.31,85.79,56.08,52.41,96.15,102.95,106.7,68.02,22.75,65.1,50.09,67.97,89.56,46.83,75.96,40.47,45.4,61.72,77.64,48.2,37.25,9.22,34.06,58.8,68.02,25.43,13.79,85.96,63.7,25.41,50.58,61.0,29.74,23.56,82.85
44.64,19.39,83.66,8.75,59.99,51.29,0.0,16.49,65.76,22.05,87.56,10.49,15.68,40.67,62.44,12.17,11.11,43.32,30.18,66.47,135.56,30.64,33.97,75.13,87.26,84.6,30.72,51.19,49.28,28.5,83.14,20.56,97.02,47.41,10.5,112.49,58.72,77.16,94.96,44.38,66.97,12.98,30.48,75.47,32.84,74.08,66.38,38.94,39.1,35.83,68.42,31.39,27.8,35.36,40.47,58.0,56.54,43.54,76.11,12.24,21.54,24.38,37.38,66.05,27.69,122.36,100.71,83.11,91.21,24.56,66.83,141.66,74.55,41.27,30.68,6.95,11.72,27.68,85.68,54.2,32.69,50.61,12.74,11.14,52.29,70.42,6.71,69.23,50.62,36.71,21.04,35.52,34.56,30.01,28.76,48.69,14.95,50.78,26.94,29.35,49.56
22.22,43.9,86.36,31.68,67.38,43.13,24.74,0.0,31.26,35.95,79.97,6.88,30.31,23.27,51.16,12.7,22.81,38.04,16.98,55.24,88.16,25.47,17.53,35.83,66.55,102.2,11.08,33.79,37.47,40.6,92.79,0.93,93.03,40.58,15.33,80.31,56.26,52.18,49.21,31.34,43.15,19.45,56.15,54.24,61.67,57.65,41.47,36.65,19.78,58.25,66.39,46.58,24.82,22.44,31.26,53.63,44.06,61.57,55.85,19.74,14.24,16.28,35.64,35.29,29.73,102.21,76.61,96.76,58.23,29.3,105.45,82.41,67.44,47.36,13.62,29.49,10.2,58.88,70.86,28.86,45.94,27.19,16.69,28.36,34.8,39.82,14.58,50.05,23.99,32.79,39.81,13.13,19.18,46.71,35.55,48.3,26.25,52.29,4.6,15.69,62.65
18.68,79.57,37.9,66.19,42.68,42.16,43.84,40.64,0.0,60.05,28.76,44.23,50.93,13.36,48.82,48.13,46.64,3.83,25.3,14.6,98.19,24.62,26.37,10.6,29.06,55.11,27.99,9.21,46.44,70.2,44.74,40.55,46.42,5.94,46.03,31.15,9.14,29.97,20.12,44.65,34.05,37.65,102.99,34.77,103.12,47.2,14.62,57.38,25.01,105.1,13.2,53.71,19.25,22.94,27.53,76.51,28.68,70.1,24.79,57.37,28.59,35.97,89.88,18.16,60.99,37.74,46.91,58.24,37.82,66.67,143.87,51.19,47.99,90.4,39.06,63.21,54.11,78.19,17.76,7.71,63.02,16.29,37.04,59.38,15.25,6.27,52.45,57.96,19.61,22.86,92.56,25.8,43.04,68.66,31.7,39.49,60.13,29.69,36.84,21.92,106.47
45.72,31.56,121.86,25.06,62.15,58.85,20.35,35.95,72.06,0.0,83.02,26.02,35.28,47.01,101.68,26.36,29.7,89.7,50.31,86.56,152.75,54.96,56.13,78.68,83.73,123.78,56.42,57.94,61.33,44.35,103.45,36.4,109.18,94.85,30.91,118.44,78.61,87.9,78.93,61.5,70.14,37.89,20.26,92.14,21.3,101.36,92.38,60.28,60.2,18.78,87.9,44.54,57.35,55.69,79.77,73.44,82.63,71.29,72.87,20.42,43.58,44.52,33.28,65.22,14.7,126.89,114.1,100.06,89.34,8.98,66.51,166.52,137.15,28.49,46.03,17.53,31.52,55.46,96.19,68.12,18.31,72.12,39.51,32.5,90.73,94.03,23.65,50.54,58.07,67.78,8.74,54.25,43.76,13.53,45.33,60.5,32.75,67.73,38.87,51.37,26.71
